Date,KOSPI_Now
2018-01-02,2479.65
2018-01-03,2486.35
2018-01-04,2466.46
2018-01-05,2497.52
2018-01-08,2513.28
2018-01-09,2510.23
2018-01-10,2499.75
2018-01-11,2487.91
2018-01-12,2496.42
2018-01-15,2503.73
2018-01-16,2521.74
2018-01-17,2515.43
2018-01-18,2515.81
2018-01-19,2520.26
2018-01-22,2502.11
2018-01-23,2536.6
2018-01-24,2538.0
2018-01-25,2562.23
2018-01-26,2574.76
2018-01-29,2598.19
2018-01-30,2567.74
2018-01-31,2566.46
2018-02-01,2568.54
2018-02-02,2525.39
2018-02-05,2491.75
2018-02-06,2453.31
2018-02-07,2396.56
2018-02-08,2407.62
2018-02-09,2363.77
2018-02-12,2385.38
2018-02-13,2395.19
2018-02-14,2421.83
2018-02-19,2442.82
2018-02-20,2415.12
2018-02-21,2429.65
2018-02-22,2414.28
2018-02-23,2451.52
2018-02-26,2457.65
2018-02-27,2456.14
2018-02-28,2427.36
2018-03-02,2402.16
2018-03-05,2375.06
2018-03-06,2411.41
2018-03-07,2401.82
2018-03-08,2433.08
2018-03-09,2459.45
2018-03-12,2484.12
2018-03-13,2494.49
2018-03-14,2486.08
2018-03-15,2492.38
2018-03-16,2493.97
2018-03-19,2475.03
2018-03-20,2485.52
2018-03-21,2484.97
2018-03-22,2496.02
2018-03-23,2416.76
2018-03-26,2437.08
2018-03-27,2452.06
2018-03-28,2419.29
2018-03-29,2436.37
2018-03-30,2445.85
2018-04-02,2444.16
2018-04-03,2442.43
2018-04-04,2408.06
2018-04-05,2437.52
2018-04-06,2429.58
2018-04-09,2444.08
2018-04-10,2450.74
2018-04-11,2444.22
2018-04-12,2442.71
2018-04-13,2455.07
2018-04-16,2457.49
2018-04-17,2453.77
2018-04-18,2479.98
2018-04-19,2486.1
2018-04-20,2476.33
2018-04-23,2474.11
2018-04-24,2464.14
2018-04-25,2448.81
2018-04-26,2475.64
2018-04-27,2492.4
2018-04-30,2515.38
2018-05-02,2505.61
2018-05-03,2487.25
2018-05-04,2461.38
2018-05-08,2449.81
2018-05-09,2443.98
2018-05-10,2464.16
2018-05-11,2477.71
2018-05-14,2476.11
2018-05-15,2458.54
2018-05-16,2459.82
2018-05-17,2448.45
2018-05-18,2460.65
2018-05-21,2465.57
2018-05-23,2471.91
2018-05-24,2466.01
2018-05-25,2460.8
2018-05-28,2478.96
2018-05-29,2457.25
2018-05-30,2409.03
2018-05-31,2423.01
2018-06-01,2438.96
2018-06-04,2447.76
2018-06-05,2453.76
2018-06-07,2470.58
2018-06-08,2451.58
2018-06-11,2470.15
2018-06-12,2468.83
2018-06-14,2423.48
2018-06-15,2404.04
2018-06-18,2376.24
2018-06-19,2340.11
2018-06-20,2363.91
2018-06-21,2337.83
2018-06-22,2357.22
2018-06-25,2357.88
2018-06-26,2350.92
2018-06-27,2342.03
2018-06-28,2314.24
2018-06-29,2326.13
2018-07-02,2271.54
2018-07-03,2272.76
2018-07-04,2265.46
2018-07-05,2257.55
2018-07-06,2272.87
2018-07-09,2285.8
2018-07-10,2294.16
2018-07-11,2280.62
2018-07-12,2285.06
2018-07-13,2310.9
2018-07-16,2301.99
2018-07-17,2297.92
2018-07-18,2290.11
2018-07-19,2282.29
2018-07-20,2289.19
2018-07-23,2269.31
2018-07-24,2280.2
2018-07-25,2273.03
2018-07-26,2289.06
2018-07-27,2294.99
2018-07-30,2293.51
2018-07-31,2295.26
2018-08-01,2307.07
2018-08-02,2270.2
2018-08-03,2287.68
2018-08-06,2286.5
2018-08-07,2300.16
2018-08-08,2301.45
2018-08-09,2303.71
2018-08-10,2282.79
2018-08-13,2248.45
2018-08-14,2258.91
2018-08-16,2240.8
2018-08-17,2247.05
2018-08-20,2247.88
2018-08-21,2270.06
2018-08-22,2273.33
2018-08-23,2282.6
2018-08-24,2293.21
2018-08-27,2299.3
2018-08-28,2303.12
2018-08-29,2309.03
2018-08-30,2307.35
2018-08-31,2322.88
2018-09-03,2307.03
2018-09-04,2315.72
2018-09-05,2291.77
2018-09-06,2287.61
2018-09-07,2281.58
2018-09-10,2288.66
2018-09-11,2283.2
2018-09-12,2282.92
2018-09-13,2286.23
2018-09-14,2318.25
2018-09-17,2303.01
2018-09-18,2308.98
2018-09-19,2308.46
2018-09-20,2323.45
2018-09-21,2339.17
2018-09-27,2355.43
2018-09-28,2343.07
2018-10-01,2338.88
2018-10-02,2309.57
2018-10-04,2274.49
2018-10-05,2267.52
2018-10-08,2253.83
2018-10-10,2228.61
2018-10-11,2129.67
2018-10-12,2161.85
2018-10-15,2145.12
2018-10-16,2145.12
2018-10-17,2167.51
2018-10-18,2148.31
2018-10-19,2156.26
2018-10-22,2161.71
2018-10-23,2106.1
2018-10-24,2097.58
2018-10-25,2063.3
2018-10-26,2027.15
2018-10-29,1996.05
2018-10-30,2014.69
2018-10-31,2029.69
2018-11-01,2024.46
2018-11-02,2096.0
2018-11-05,2076.92
2018-11-06,2089.62
2018-11-07,2078.69
2018-11-08,2092.63
2018-11-09,2086.09
2018-11-12,2080.44
2018-11-13,2071.23
2018-11-14,2068.05
2018-11-15,2088.06
2018-11-16,2092.4
2018-11-19,2100.56
2018-11-20,2082.58
2018-11-21,2076.55
2018-11-22,2069.95
2018-11-23,2057.48
2018-11-26,2083.02
2018-11-27,2099.42
2018-11-28,2108.22
2018-11-29,2114.1
2018-11-30,2096.86
2018-12-03,2131.93
2018-12-04,2114.35
2018-12-05,2101.31
2018-12-06,2068.69
2018-12-07,2075.76
2018-12-10,2053.79
2018-12-11,2052.97
2018-12-12,2082.57
2018-12-13,2095.55
2018-12-14,2069.38
2018-12-17,2071.09
2018-12-18,2062.11
2018-12-19,2078.84
2018-12-20,2060.12
2018-12-21,2061.49
2018-12-24,2055.01
2018-12-26,2028.01
2018-12-27,2028.44
2018-12-28,2041.04
